observation_id,date,value,legend,post_id,location,river_post,gauge_zero
50917,2008-01-01,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50918,2008-01-02,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50919,2008-01-03,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50920,2008-01-04,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50921,2008-01-05,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50922,2008-01-06,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50923,2008-01-07,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50924,2008-01-08,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50925,2008-01-09,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50926,2008-01-10,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50927,2008-01-11,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50928,2008-01-12,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50929,2008-01-13,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50930,2008-01-14,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50931,2008-01-15,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50932,2008-01-16,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50933,2008-01-17,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50934,2008-01-18,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50935,2008-01-19,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50936,2008-01-20,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50937,2008-01-21,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50938,2008-01-22,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50939,2008-01-23,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50940,2008-01-24,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50941,2008-01-25,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50942,2008-01-26,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50943,2008-01-27,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50944,2008-01-28,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50945,2008-01-29,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50946,2008-01-30,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50947,2008-01-31,138,"""I",09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50948,2008-02-01,138,^I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50949,2008-02-02,138,^I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50950,2008-02-03,138,^I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50951,2008-02-04,138,^I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50952,2008-02-05,138,^I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50953,2008-02-06,138,^I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50954,2008-02-07,137,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50955,2008-02-08,138,^I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50956,2008-02-09,137,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50957,2008-02-10,137,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50958,2008-02-11,137,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50959,2008-02-12,137,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50960,2008-02-13,136,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50961,2008-02-14,136,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50962,2008-02-15,136,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50963,2008-02-16,136,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50964,2008-02-17,136,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50965,2008-02-18,136,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50966,2008-02-19,135,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50967,2008-02-20,135,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
50968,2008-02-21,135,I,09386,Подкаменная Тунгуска,Подкаменная Тунгуска - р.Подкаменная Тунгуска - пос.Чемдальск,269.26
